row,hit_count,log10_hit,row_rms,pca_raw_1,pca_raw_2,pca_dir_1,pca_dir_2,umap_1,umap_2
4987792,152,2.184691430817599,0.6187017,0.98463494,-0.8719983,0.7290012,-0.4568842,4.751248,8.543609
5708194,351,2.546542663478131,0.9308174,-1.5699621,-0.58860224,0.22192115,0.44933218,6.370633,7.759855
8003063,262,2.419955748489758,0.8020391,1.2424119,-1.1096978,-1.8405565,1.0207977,6.1469913,8.452218
5344983,124,2.0969100130080562,0.58188707,-0.34291333,-0.5555235,0.9297544,0.30961078,5.635264,8.110565
1833187,95,1.9822712330395684,0.44092202,-0.573928,-1.0120416,2.1906374,0.4781784,3.0356226,11.926847
5394970,193,2.287801729930226,0.6717782,0.63808095,-0.8306355,-2.090533,1.0415081,5.801493,6.786123
2271364,14897,4.173127969938208,1.7718679,4.5333233,5.692338,-1.1223485,-0.21464102,1.5057597,8.587442
2277776,25,1.414973347970818,0.28475526,1.4192644,-0.53386754,-2.9071045,0.71617126,1.0426416,11.607968
2611428,20241,4.3062534205221175,1.7802298,0.18013372,-4.8640685,-0.6960657,1.470371,2.3101964,8.862587
4450015,215,2.3344537511509307,0.69493103,-0.7021309,-1.4565128,0.07696743,1.3852832,5.724333,7.210001
733375,38,1.591064607026499,0.35819775,-0.6131603,-0.7239656,0.6689737,1.5118934,2.9552999,9.994592
5150698,568,2.7551122663950713,1.156053,-0.41800222,-0.7689167,1.0848857,-1.1028349,6.0471616,7.790814
2934285,59,1.7781512503836436,0.44348615,2.3279274,-1.0522186,-5.1702123,2.8966997,0.97357327,11.3685875
902013,33,1.5314789170422551,0.32624492,0.7041962,0.14174134,-0.28261483,-0.49878648,0.88836706,9.448891
2401030,9,1.0,0.19835927,-0.9359053,0.14588536,5.4170737,-1.6394035,1.5414269,13.454697
296992,8,0.9542425094393249,0.23223084,0.48727846,0.30985624,0.14319243,-1.4048958,1.0228112,8.600235
563749,65,1.8195439355418688,0.420339,1.0944798,-0.4516357,-2.9752111,-1.7264653,1.1794481,11.980309
2367067,10,1.0413926851582251,0.20102425,-0.3061693,-0.6958321,1.2116141,0.3569141,2.2854671,12.753979
2559808,56472,4.751840859258727,1.8060689,2.370868,5.551254,-0.5193932,-0.05260601,1.2657299,7.9656568
2367582,22,1.3617278360175928,0.27818108,1.2562479,-0.13398018,-5.12024,0.09954412,1.1822798,11.886415
1389284,16678,4.222170008681765,1.9224453,0.44288653,5.2088523,-3.1170952,-0.54098827,1.7506886,12.545593
2095222,6112,3.78625439578978,1.9102719,-0.3523932,4.129104,1.0822997,-2.5255053,2.1808434,12.616352
6102412,160,2.2068258760318495,0.65806526,-0.5912429,0.34573203,-1.26332,-2.108165,5.7934113,9.603421
5493747,277,2.444044795918076,0.83058757,0.419836,-0.5198378,0.3795897,-0.07116215,5.8884754,9.021005
5670376,162,2.2121876044039577,0.69442964,0.18510951,0.60833436,1.7307982,0.14452441,5.446258,8.849161
4418856,540,2.7331972651065692,1.1244228,-1.474921,-3.1523378,0.13722694,0.943103,6.580589,7.723854
5380808,114,2.060697840353612,0.43858364,0.71000475,-0.64618963,-0.74434924,0.21662617,6.400903,7.3197613
1766094,18,1.2787536009528289,0.23359968,-0.23720823,-0.13305114,2.1041546,-0.5741646,2.3862405,13.3505
10875,604,2.781755374652469,1.2528592,0.38915262,-3.1645224,-0.31110132,1.9290725,1.9215894,11.934031
1062047,89,1.954242509439325,0.54116625,-0.8302575,-1.6246502,-1.7930688,1.4496189,0.7598166,11.488095
609065,55530,4.744535494300434,1.8733422,2.5529106,-4.7932773,-0.6104948,5.53883,2.324636,12.662798
1280871,682,2.8344207036815328,1.2938563,2.10758,1.4831306,-1.0620173,0.52100474,1.0110991,8.487181
1079153,42,1.6334684555795864,0.40113744,0.77302164,-1.174469,-2.184089,2.533913,1.9593527,11.385142
3565616,16962,4.229502662085074,1.9394675,-2.0990431,1.2396601,-1.2959013,-2.336072,1.8927565,12.814553
2483705,29,1.4771212547196624,0.34612525,1.1491557,-0.5415164,-2.1113498,1.5600985,1.3742583,12.197253
4379936,201,2.305351369446624,0.6448242,-0.3086749,-0.5322442,-0.9593078,-1.2873598,6.3795767,7.8008623
1751251,18,1.2787536009528289,0.31330255,0.57294315,-1.4228952,-3.5729744,2.9326172,0.83715534,12.114951
3517298,184,2.2671717284030137,0.70159435,0.7305074,-0.13855854,-0.153022,0.60892504,1.9358271,12.137643
7250925,306,2.4871383754771865,0.8428908,0.46840268,0.23707949,1.1848087,-0.34543186,6.018863,9.387832
2888249,136,2.1367205671564067,0.6328658,-0.4901503,-1.1476547,3.932445,1.7154815,3.3716397,12.683114
3923968,53862,4.731290538588335,1.8307835,-5.188234,1.9024533,-2.4087298,-0.7282973,1.2721871,12.503951
3837162,41,1.6232492903979006,0.49267033,-0.13374856,-0.33214405,-2.3947542,-2.3469772,0.97264266,11.074038
647313,48,1.6901960800285136,0.4522895,-0.40044698,-1.959329,1.2367426,3.3928263,2.8433914,12.602921
5753432,148,2.173186268412274,0.71023107,1.0513983,-0.22811864,-1.0155581,-0.37542996,6.409556,9.243912
5233114,21376,4.329946757240238,1.8790016,0.2066446,-1.3960164,-1.4722224,0.36930904,5.9231644,9.550984
2132897,14504,4.161517733138683,1.8326688,-4.5636163,1.1508836,1.629999,0.08845179,2.2737558,12.4985485
2031581,11,1.0791812460476249,0.25678697,0.13993452,-1.0101053,4.0751996,3.229001,3.0863073,11.386061
3332118,817,2.912753303671323,1.1143452,0.6226228,-3.8698165,-0.20772268,1.4791003,2.3003733,9.853767
1916302,14575,4.163638359628923,2.0188406,-18.384333,10.883061,4.7712736,-8.37544,1.5549822,13.165114
6186929,142,2.155336037465062,0.65437007,-0.4646715,-0.41058922,-1.0475523,-1.1140031,6.3180027,7.1458125
1177982,57,1.7634279935629373,0.49676377,0.12688196,-0.5509682,0.99944764,-0.18742862,1.3849076,9.951579
7957379,96,1.9867717342662448,0.5965021,-0.08788536,-0.52032167,1.7258371,-0.5056543,6.8229856,8.898292
2677820,11,1.0791812460476249,0.29619923,-0.16961144,-0.14995812,2.8811786,-1.530469,1.8017895,11.934189
1187619,3610,3.5576274884268266,1.6955972,2.9310992,-0.9293222,-0.45166615,1.9532106,2.5406175,11.35263
7154532,133,2.1271047983648077,0.61116725,0.5144946,0.46484563,-0.31655195,-1.2223479,5.5823293,8.070916
471197,94,1.9777236052888478,0.5426064,0.8638045,-0.5289629,-3.173748,0.6098007,1.054257,11.8326025
